"SKP_FIN_ACCOUNT","CODE_BUSINESS_UNIT","LAST_TRANSACTION"
"V005CN_PL_K6720","V005CN","2026-04"
"V001DE_PL_80030","V001DE","2026-04"
"V004AE_BS_15155","V004AE","2026-04"
"V001DE_PL_81030","V001DE","2026-04"
"V002US_BS_08550","V002US","2026-04"
"V003AU_PL_K5420","V003AU","2026-04"
"V004AE_PL_K6720","V004AE","2026-04"
"V005CN_PL_K5420","V005CN","2026-04"
"V012DE_PL_81005","V012DE","2026-04"
"V001DE_PL_47320","V001DE","2026-04"
"V001DE_PL_80010","V001DE","2026-04"
"V001DE_PL_47400","V001DE","2026-04"
"V001DE_BS_05740","V001DE","2026-04"
"V001DE_BS_05600","V001DE","2026-04"
"V002US_PL_K5420","V002US","2026-04"
"V004AE_PL_26300","V004AE","2026-04"
"V010FR_BS_08550","V010FR","2026-04"
"V001DE_BS_05860","V001DE","2026-04"
"V001DE_BS_14150","V001DE","2026-04"
"V005CN_BS_17650","V005CN","2026-04"
"V002US_PL_K6720","V002US","2026-04"
"V001DE_PL_80060","V001DE","2026-04"
"V005CN_PL_81005","V005CN","2026-04"
"V001DE_BS_05780","V001DE","2026-04"
"V001DE_BS_05730","V001DE","2026-04"
"V003AU_PL_K6720","V003AU","2026-04"
"V007DE_BS_05950","V007DE","2026-04"
"V001DE_BS_05390","V001DE","2026-04"
"V001DE_PL_22100","V001DE","2026-04"
"V008PL_PL_81005","V008PL","2026-04"
"V007DE_BS_05260-2015","V007DE","2026-04"
"V004AE_PL_81005","V004AE","2026-04"
"V003AU_PL_81005","V003AU","2026-04"
"V004AE_PL_K5420","V004AE","2026-04"
"V001DE_BS_05240","V001DE","2026-04"
